nombre;marca;categoria;sap;precio;paginaPdf;todasLasPaginas;notaPrecio
Tikys Golochips gotitas de chocolate sabor tutti frutti caja x 24 unidades 480 g;Tikys;Chocolates;1069494;1600;372;372;PVP por unidad
Tosh Barras de Cereal Arándanos y Nueces x 6 unidades;Tosh;Barras de cereal;1044674;;289;289;columna Precio = precio de lista, no PSP
Tosh Barras de Cereal Chocolate x 6 unidades;Tosh;Barras de cereal;1044671;;288;288;columna Precio = precio de lista, no PSP
Tosh Barras de Cereal Fresa x 6 unidades;Tosh;Barras de cereal;1044670;;288;288;columna Precio = precio de lista, no PSP
Tosh Barras de Cereal Lyne x 6 unidades;Tosh;Barras de cereal;1044672;;288;288;columna Precio = precio de lista, no PSP
Tosh Barras de Cereal Maní y Pasas x 6 unidades;Tosh;Barras de cereal;1044673;;288;288;columna Precio = precio de lista, no PSP
Tosh Barras de Cereal Yogurt Griego x 6 unidades;Tosh;Barras de cereal;1024486;;289;289;columna Precio = precio de lista, no PSP
Tosh Barras Original sin azúcar x 24 unidades;Tosh;Barras de cereal;1044846;;290;290;columna Precio = precio de lista, no PSP
Tosh Barras Surtidas (arándanos y nueces, Lyne, fresa) x 24 unidades;Tosh;Barras de cereal;1044676;;290;290;columna Precio = precio de lista, no PSP
Tosh Barras Surtidas x 10 unidades;Tosh;Barras de cereal;1071865;;289;289;columna Precio = precio de lista, no PSP
Tosh Barras Surtidas x 24 unidades;Tosh;Barras de cereal;1044776;;290;290;columna Precio = precio de lista, no PSP
Tosh Barras Surtidas x 6 unidades;Tosh;Barras de cereal;1071863;;289;289;columna Precio = precio de lista, no PSP
Tosh Bebida de Almendras sin azúcar 1.000 ml;Tosh;Bebidas vegetales;2020120;;286;286;precio sin etiquetar en la página
Tosh Bebida de Cacao y Almendra sin azúcar 1.000 ml;Tosh;Bebidas vegetales;2020123;;286;286;precio sin etiquetar en la página
Tosh Bebida de Coco sin azúcar 1.000 ml;Tosh;Bebidas vegetales;2020121;;286;286;precio sin etiquetar en la página
Tosh Bebida Tres Nueces sin azúcar 1.000 ml;Tosh;Bebidas vegetales;2020122;;286;286;precio sin etiquetar en la página
Tosh Avena en Hojuelas Chocolate;Tosh;Cereales y granolas;1054665;;283;283;precio sin etiquetar en la página
Tosh Avena en Hojuelas Frutos Rojos;Tosh;Cereales y granolas;1054664;;283;283;precio sin etiquetar en la página
Tosh Granola Avena Pop 300 g;Tosh;Cereales y granolas;1060186;;285;285;precio sin etiquetar en la página
Tosh Granola Avena y Pasas 300 g;Tosh;Cereales y granolas;1060184;;285;285;precio sin etiquetar en la página
Tosh Granola Crunchy Almendras 300 g;Tosh;Cereales y granolas;2020384;;284;284;"precio sin etiquetar; la página muestra dos códigos (2020384 y 2020385) sin asociar explícitamente cada uno a su gramaje"
Tosh Granola Crunchy Almendras 500 g;Tosh;Cereales y granolas;2020385;;284;284;"precio sin etiquetar; la página muestra dos códigos (2020384 y 2020385) sin asociar explícitamente cada uno a su gramaje"
Tosh Granola Crunchy Chocolate 300 g;Tosh;Cereales y granolas;2020371;;284;284;"precio sin etiquetar; la página muestra dos códigos (2020371 y 2020372) sin asociar explícitamente cada uno a su gramaje"
Tosh Granola Crunchy Chocolate 500 g;Tosh;Cereales y granolas;2020372;;284;284;"precio sin etiquetar; la página muestra dos códigos (2020371 y 2020372) sin asociar explícitamente cada uno a su gramaje"
Tosh Granola Crunchy Fresa 500 g;Tosh;Cereales y granolas;2020369;;284;284;precio sin etiquetar en la página
Tosh Granola Crunchy Frutos del Bosque y sabor a Yogurt Griego 300 g;Tosh;Cereales y granolas;2020383;;285;285;precio sin etiquetar en la página
Tosh Granola Crunchy Pasas 300 g;Tosh;Cereales y granolas;2020373;;284;284;precio sin etiquetar en la página
Tosh Granola Semillas y Chía 300 g;Tosh;Cereales y granolas;1060185;;285;285;precio sin etiquetar en la página
CMU Tosh 2 Crackers Miel + Fusión de Cereales (3 bolsas);Tosh;Galletas;1079856;;45;45;
CMU Tosh Crackers Miel + Fusión de Cereales (2 bolsas);Tosh;Galletas;1079853;;45;45;
Tosh Avena Ajonjolí y Miel bolsa 6 x 2;Tosh;Galletas;1045205;;293;293;columna Precio = precio de lista, no PSP
Tosh Avena Chocolate bolsa 6 x 2;Tosh;Galletas;1045207;;293;293;columna Precio = precio de lista, no PSP
Tosh Avena Manzana y Maní bolsa 6 x 2;Tosh;Galletas;1045206;;293;293;columna Precio = precio de lista, no PSP
Tosh Cremadas Mousse de Naranja bolsa 6 x 2;Tosh;Galletas;1015524;;292;292;columna Precio = precio de lista, no PSP
Tosh Cremadas Surtidas 12 unidades;Tosh;Galletas;1036319;;293;293;columna Precio = precio de lista, no PSP
Tosh Cremadas Vainilla bolsa 6 x 2;Tosh;Galletas;1001563;;292;292;columna Precio = precio de lista, no PSP
Tosh Cremadas Yogurt y Fresas bolsa 6 x 2;Tosh;Galletas;1009631;;292;292;columna Precio = precio de lista, no PSP
Tosh Galleta con Salvado y Ajonjolí 9 unidades 225 g;Tosh;Galletas;1078164;;295;295;columna Precio = precio de lista, no PSP
Tosh Galleta con Salvado y Miel 2 tacos 418 g;Tosh;Galletas;1078184;;296;296;columna Precio = precio de lista, no PSP
Tosh Galleta con Salvado y Miel 9 unidades 243 g;Tosh;Galletas;1078185;;295;295;columna Precio = precio de lista, no PSP
Tosh Galleta con Salvado y Miel taco 209 g;Tosh;Galletas;1062133;;291;291 295 296;columna Precio = precio de lista, no PSP
Tosh Galleta Fusión de 4 Cereales 9 unidades 229,5 g;Tosh;Galletas;1064999;;295;295;columna Precio = precio de lista, no PSP
